lang3;BooleanUtils_toBoolean;BooleanUtils;toBoolean
examples;composite_addChild;Composite;addChild
examples;doublylinkedlistnode_insertRight;DoublyLinkedListNode;insertRight
examples;doublylinkedlistnode_remove;DoublyLinkedListNode;remove
jts;Envelope_maxExtent;Envelope;maxExtent
org.apache.commons.math3.util;FastMathNew_floor;FastMathNew;floor
math;IntMath_mod;IntMath;mod
examples;listcomp02_insert_r;ListComp02;insert_r
examples;listcomp02_insert_s;ListComp02;insert_s
examples;map_count;Map;count
examples;map_extend;Map;extend
examples;map_remove;Map;remove
jts;MathUtil_clamp;MathUtil;clamp
org.apache.commons.math3.util;MathUtilsNew_copySignInt;MathUtilsNew;copySignInt
examples;maxbag_add;MaxBag;add
examples;maxbag_getMax;MaxBag;getMax
examples;maxbag_remove;MaxBag;remove
examples;minFinder_findMin;MinFinder;findMin
examples;polyupdate_a1;Polyupdate;a1
examples;polyupdate_sm;Polyupdate;sm
DataStructures;QueueAr_dequeue;QueueAr;dequeue
DataStructures;QueueAr_dequeueAll;QueueAr;dequeueAll
DataStructures;QueueAr_enqueue;QueueAr;enqueue
DataStructures;QueueAr_getFront;QueueAr;getFront
DataStructures;QueueAr_makeEmpty;QueueAr;makeEmpty
examples;ringbuffer_count;RingBuffer;count
examples;ringbuffer_extend;RingBuffer;extend
examples;ringbuffer_item;RingBuffer;item
examples;ringbuffer_remove;RingBuffer;remove
examples;ringbuffer_wipeOut;RingBuffer;wipeOut
examples;SimpleMethods_abs;SimpleMethods;abs
examples;SimpleMethods_addElementToSet;SimpleMethods;addElementToSet
examples;SimpleMethods_getMin;SimpleMethods;getMin
examples;SimpleMethods_incrementNumberAtIndex;SimpleMethods;incrementNumberAtIndex
DataStructures;StackAr_makeEmpty;StackAr;makeEmpty
DataStructures;StackAr_pop;StackAr;pop
DataStructures;StackAr_push;StackAr;push
DataStructures;StackAr_top;StackAr;top
DataStructures;StackAr_topAndPop;StackAr;topAndPop
examples;structure_foo;Structure;foo
examples;structure_setX;Structure;setX
